{'date': '2017-06-22 21:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-22 21:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-22 22:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-22 22:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-22 22:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-22 22:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-22 23:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-22 23:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '94.30'}
{'date': '2017-06-22 23:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '94.30'}
{'date': '2017-06-22 23:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '92.10'}
{'date': '2017-06-23 00:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '92.10'}
{'date': '2017-06-23 00:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '91.00'}
{'date': '2017-06-23 00:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '93.30'}
{'date': '2017-06-23 00:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '85.40'}
{'date': '2017-06-23 01:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '90.60'}
{'date': '2017-06-23 01:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '91.50'}
{'date': '2017-06-23 01:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '91.50'}
{'date': '2017-06-23 01:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '91.30'}
{'date': '2017-06-23 02:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '91.30'}
{'date': '2017-06-23 02:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '92.10'}
{'date': '2017-06-23 02:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '81.50'}
{'date': '2017-06-23 02:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '80.20'}
{'date': '2017-06-23 03:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '79.80'}
{'date': '2017-06-23 03:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '87.30'}
{'date': '2017-06-23 03:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '88.60'}
{'date': '2017-06-23 03:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '91.10'}
{'date': '2017-06-23 04:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '92.80'}
{'date': '2017-06-23 04:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '94.20'}
{'date': '2017-06-23 04:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '94.70'}
{'date': '2017-06-23 04:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '96.00'}
{'date': '2017-06-23 05:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '96.00'}
{'date': '2017-06-23 05:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.50'}
{'date': '2017-06-23 05:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.20'}
{'date': '2017-06-23 05:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.20'}
{'date': '2017-06-23 06:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.40'}
{'date': '2017-06-23 06:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 06:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 06:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.50'}
{'date': '2017-06-23 07:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.30'}
{'date': '2017-06-23 07:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.30'}
{'date': '2017-06-23 07:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.50'}
{'date': '2017-06-23 07:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 08:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-23 08:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 08:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 08:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 09:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-23 09:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-23 09:30', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 09:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 10:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 10:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 10:30', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-23 10:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 11:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 11:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 11:30', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-23 11:45', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-23 12:00', 'home': 'changnin', 'temperature': '27.40', 'humidity': '99.90'}
{'date': '2017-06-23 12:15', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 12:30', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 12:45', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 13:00', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 13:15', 'home': 'changnin', 'temperature': '27.70', 'humidity': '99.90'}
{'date': '2017-06-23 13:30', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 13:45', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 14:00', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 14:15', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 14:30', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 14:45', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 15:00', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 15:15', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 15:30', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 15:45', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 16:00', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 16:15', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 16:30', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 16:45', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 17:00', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-23 17:15', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 17:30', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 17:45', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 18:00', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-23 18:15', 'home': 'changnin', 'temperature': '27.40', 'humidity': '99.90'}
{'date': '2017-06-23 18:30', 'home': 'changnin', 'temperature': '27.40', 'humidity': '99.90'}
{'date': '2017-06-23 18:45', 'home': 'changnin', 'temperature': '25.60', 'humidity': '75.60'}
{'date': '2017-06-23 19:00', 'home': 'changnin', 'temperature': '25.60', 'humidity': '75.40'}
{'date': '2017-06-23 19:15', 'home': 'changnin', 'temperature': '25.10', 'humidity': '62.40'}
{'date': '2017-06-23 19:30', 'home': 'changnin', 'temperature': '25.00', 'humidity': '62.70'}
{'date': '2017-06-23 19:45', 'home': 'changnin', 'temperature': '25.00', 'humidity': '65.00'}
{'date': '2017-06-23 20:00', 'home': 'changnin', 'temperature': '24.80', 'humidity': '70.20'}
{'date': '2017-06-23 20:15', 'home': 'changnin', 'temperature': '24.70', 'humidity': '72.30'}
{'date': '2017-06-23 20:30', 'home': 'changnin', 'temperature': '25.00', 'humidity': '91.70'}
{'date': '2017-06-23 20:45', 'home': 'changnin', 'temperature': '24.90', 'humidity': '91.80'}
{'date': '2017-06-23 21:00', 'home': 'changnin', 'temperature': '25.60', 'humidity': '99.90'}
{'date': '2017-06-23 21:15', 'home': 'changnin', 'temperature': '26.00', 'humidity': '99.90'}
{'date': '2017-06-23 21:30', 'home': 'changnin', 'temperature': '26.20', 'humidity': '99.90'}
{'date': '2017-06-23 21:45', 'home': 'changnin', 'temperature': '26.20', 'humidity': '99.90'}
{'date': '2017-06-23 22:00', 'home': 'changnin', 'temperature': '26.40', 'humidity': '97.00'}
{'date': '2017-06-23 22:15', 'home': 'changnin', 'temperature': '26.50', 'humidity': '99.90'}
{'date': '2017-06-23 22:30', 'home': 'changnin', 'temperature': '26.50', 'humidity': '99.90'}
{'date': '2017-06-23 22:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-23 23:00', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-23 23:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-23 23:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-23 23:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 00:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 00:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 00:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 00:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 01:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 01:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '71.30'}
{'date': '2017-06-24 01:30', 'home': 'changnin', 'temperature': '26.60', 'humidity': '71.10'}
{'date': '2017-06-24 01:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '91.80'}
{'date': '2017-06-24 02:00', 'home': 'changnin', 'temperature': '26.70', 'humidity': '96.60'}
{'date': '2017-06-24 02:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '98.20'}
{'date': '2017-06-24 02:30', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.70'}
{'date': '2017-06-24 02:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.70'}
{'date': '2017-06-24 03:00', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 03:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 03:30', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 03:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 04:00', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 04:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 04:30', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 04:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 05:00', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 05:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 05:30', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 05:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 06:00', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 06:15', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 06:30', 'home': 'changnin', 'temperature': '26.70', 'humidity': '99.90'}
{'date': '2017-06-24 06:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 07:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 07:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 07:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 07:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-24 08:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-24 08:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-24 08:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-24 08:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 09:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 09:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 09:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 09:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 10:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 10:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 10:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 10:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 11:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 11:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 11:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-24 11:45', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-24 12:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-24 12:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-24 12:30', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-24 12:45', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-24 13:00', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-24 13:15', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-24 13:30', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-24 13:45', 'home': 'changnin', 'temperature': '27.30', 'humidity': '99.90'}
{'date': '2017-06-24 14:00', 'home': 'changnin', 'temperature': '27.40', 'humidity': '99.90'}
{'date': '2017-06-24 14:15', 'home': 'changnin', 'temperature': '27.40', 'humidity': '99.90'}
{'date': '2017-06-24 14:30', 'home': 'changnin', 'temperature': '27.40', 'humidity': '99.90'}
{'date': '2017-06-24 14:45', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-24 15:00', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-24 15:15', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-24 15:30', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-24 15:45', 'home': 'changnin', 'temperature': '27.50', 'humidity': '99.90'}
{'date': '2017-06-24 16:00', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
